 Foreign National Tariff Line,Country,Foreign Tariff Line Description,Current Total Estimated Retaliatory Tariff,Source.Name,HS Subheading,Tariff Line
07070000,China,"Cucumbers and gherkins, fresh or chilled. Cucumbers and gherkins, fresh or chilled.",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070700,"07070000 - Cucumbers and gherkins, fresh or chilled. Cucumbers and gherkins, fresh or chilled."
07081000,China,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Peas (Pisum sativum)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070810,"07081000 - Leguminous vegetables, shelled or unshelled, fresh or chilled. - Peas (Pisum sativum)"
07082000,China,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Beans (Vigna spp., Phaseolus spp.)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070820,"07082000 - Leguminous vegetables, shelled or unshelled, fresh or chilled. - Beans (Vigna spp., Phaseolus spp.)"
07089000,China,"Leguminous vegetables, shelled or unshelled, fresh or chilled. - Other leguminous vegetables",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070890,"07089000 - Leguminous vegetables, shelled or unshelled, fresh or chilled. - Other leguminous vegetables"
07092000,China,"Other vegetables, fresh or chilled. - Asparagus",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070920,"07092000 - Other vegetables, fresh or chilled. - Asparagus"
07093000,China,"Other vegetables, fresh or chilled. - Aubergines (egg-plants)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070930,"07093000 - Other vegetables, fresh or chilled. - Aubergines (egg-plants)"
07094000,China,"Other vegetables, fresh or chilled. - Celery other than celeriac",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070940,"07094000 - Other vegetables, fresh or chilled. - Celery other than celeriac"
07095100,China,"Other vegetables, fresh or chilled. - - Mushrooms of the genus Agaricus",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070951,"07095100 - Other vegetables, fresh or chilled. - - Mushrooms of the genus Agaricus"
07095910,China,"Other vegetables, fresh or chilled. - - Other ---Sungmo",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095910 - Other vegetables, fresh or chilled. - - Other ---Sungmo"
07095920,China,"Other vegetables, fresh or chilled. - - Other ---Shiitake",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095920 - Other vegetables, fresh or chilled. - - Other ---Shiitake"
